file	Arabic.txt	English.txt	Spanish.txt	Urdu.txt
upload_welcomeVideo	تحميل فيديو الترحيب	Upload Welcome Video	Upload Welcome Video	خوش آمدید ویڈیو اپ لوڈ کریں
added_by	أضيفت من قبل	Added By	Añadido por	شامل کنندہ
MeetUp_Detail	تفاصيل الاجتماع	Meetup Detail	Detalles del MeetUp	اجلاس کی تفصیل
Edit_Step	تحرير الخطوة	Edit Step	Editar paso	مرحلہ میں ترمیم کریں
Add_Community	إضافة مجموعة	Add Community	Add Community	Add Community
CourseSteps_Synced_Error	تعذر مزامنة خطوات الدورة التدريبية	Failed to sync course steps.	Error al sincronizar los pasos del curso.	کورس کا مرحلہ ہم وقت ساز کرنے میں ناکامی ہے
Up	فوق	Up	Arriba	اوپر
Daily	يومي	Daily	A diario	روزانہ
Sign_In	تسجيل الدخول	Sign In	Crear cuenta	سائن ان کریں
Activity_Report	تقارير تسجيل الدخول	Activity Report	Informe de actividades	سرگرمی کی رپورٹ
select_ratings	حدد عدد مرات التقييم	Select the number of ratings:	Select the number of ratings:	ریٹنگ کا نمبر منتخب کریں:
Comment	التعليق	 Comment	 Comentario	 تبصرہ
Resource_Count	عدد الموارد	Resource Count	Cuenta de recursos	ریسورسز کی تعداد
Leader_Phone_Number	رقم هاتف المدير	Leader Phone Number	Teléfono del coordinador del curso	لیڈر کا فون نمبر
Paper	ورقة	Paper	Trabajo	امتحان
Questions	الاسئلة	Questions	Questions	Questions
Previous	سابق	Previous	Anterior	پچھلا
Select_Gender	Select Gender	Select Gender	Select Gender	Select Gender
Log_Activity_Reports	تقارير تسجيل الدخول	Log Activity Reports	Log Activity Reports	لاگ کی سرگرمی کی رپورٹیں
comm_reject_msg	Your registration request has been rejected, please check your data and re-send	Your registration request has been rejected, please check your data and re-send	Your registration request has been rejected, please check your data and re-send	Your registration request has been rejected, please check your data and re-send
No_Record_Found	No Record Found	No Record Found	No Record Found	No Record Found
Event_Name	إسم الموضوع	Event Name	Event Name	تقریب کا نام
FeedBack_And_AddedToShelf	تم حفظ ملاحظتك وإضافتها إلى الألبوم بنجاح	Successfully saved feedback and added to shelf.	La retroalimentación se guardó con éxito y añadió al estante.	آپ کی رائے کو کامیابی سے محفوظ اور شیلف میں شامل کر لیا گیا ھے
Add	إضافة	Add	Añadir	شامل کریے
Pubs_Issue_Saved	تم حفظ النسخة/النشرة	Issue saved.	¡Publicación guarda!	ایشو محفوظ ہو چکا ہے
request_accepted	Registration request has been accepted.	Registration request has been accepted.	Registration request has been accepted.	Registration request has been accepted.
Reinstate	إعادة	Reinstate	Reintegrarse	بحال کریں
Confirm_Report	هل أنت متأكد من أنك تريد حذف هذا التقرير؟	Are you sure you want to delete this report?	¿Desea eliminar este informe?	کیا آپ کو یقین ہے کہ آپ یہ رپورٹ حذف کرنا چاہتے ہیں؟
NoUnRead_Mail	لا يوجد بريد غير مقروء	* No Unread Email.	* No Unread Email.	* بغیر پڑھا ہوا ای میل نہیں ہے
Already_Pub_Sent	قد تم إرسال هذه النشرة سابقاً إلى	This publication is already sent to	Esta publicación ya se envió a	اس اشاعت کو پہلے ہی بھیج دیا ہے
Editor_Email	إيميل المحرر/المؤلف	Editor Email	Editor Email	Editor Email
Add_Feedback_For	إضافة تعليقات على	Add Feedback For	Añadir retroalimentación para	کے لئے رائے شامل کریں
Un_Submitted	لم يتم الإرسال	Un-Submitted	Un-Submitted	غیر ارسال کیے گیے
Enter_subject	الرجاء إدخال الموضوع	Please enter subject.	Ingrese el asunto.	موضوع لکھیں
User	مستخدم	User	Usuario	صارف
EditLabel	تحرير	Edit	Editar	ترمیم کریں
adm_req_For_accepted	تم قبول طلبك للإنضمام، من قبل مدير الدورة التدريبية ل	Your admission request has been accepted by the course leader for	Your admission request has been accepted by the course leader for	آپ کے داخلہ کی درخواست کورس کے رہنما نے قبول کرلی ہے
Submitted	أرسل	Submitted	Submitted	ارسال کیے گیے
Filter	التصفية	Filter:	Filtro:	فلٹر
no_answer_survey	لا يوجد أجوبة في هذا البحث/المجلد	No answers in this survey	No answers in this survey	No answers in this survey
Stopped	تم الإيقاف	stopped	Detenido	رک گیا
Suggestion	اقتراحات	Suggestions	Sugerencias	تجاویز
Error	!خطأ	 Error	¡Error!	 خرابی
survey_Saved_Successfully	تم حفظ البحث	Survey Saved!	Survey Saved!	سروے محفوظ ہو گیا ہے!
Select_An_option	قم بتحديد خيار	Select an Option	Elige	ایک آپشن منتخب کریں
View_All_Courses	عرض جميع الدورات التدريبية	View All Courses	View All Courses	تمام کورسز دیکھیں
Bell	بيل	Bell	BeLL	بیل
Duplicate_login	لقد قمت بتسجيل الدخول	Login already exists.	Inicio de sesión duplicado.	لاگ ان پہلے سے ہی موجود ھے
Please_Select_Collections	يرجى تحديد مجموعات لدمج	Please select collections to merge.	Seleccione colecciones para combinar.	مجموعات ضم کرنے کے لیے منتخب کریں
Group_Selection_Error	Please select age group first	Please select age group first	Please select age group first	Please select age group first
Close	إغلاق	Close	Cerrar	بند کریں
Gender_Selection_Error	Please select gender first	Please select gender first	Please select gender first	Please select gender first
error_direction	الرجاء تحديد الاتجاه للغة المحددة	Please specify the direction for specified language.	Especifique la dirección del idioma en cuestión.	تخصیص کردہ زبان کے لئے سمت کا اندراج کریں ۔
openUrl	فتح الرابط	Open URL	Open URL	URL کھولیں
Community_Resources	Resources From Community	Resources From Community	Resources From Community	Resources From Community
Functionality_Under_Construction	هذه الوظيفة هي قيد الإنشاء	This functionality is under construction.	Se está creando esta función.	یہ فعالیت زیر تعمیر ہے
MeetUp_not_Existing	الاجتماع لم يعد موجود	Meetup does not exist.	Este MeetUp ya no existe.	اب اجلاس موجود نھیں ھے
Added_To_Shelf	تمت الإضافة إلى الألبوم بنجاح	Successfully added to shelf.	Agregado con éxito al estante.	شیلف میں کامیابی سے اضافہ ھو گیا ھے
Give_Feedback	زودنا بملاحظاتك على هذه الصفحة	Give us your feedback on the current page.	Opina sobre esta página actual.	 موجودہ صفحے پر ہمیں آپ کی رائے دے
Destroy	اتلاف	Destroy	Destroy	خارج کریں
Resource_Already_At_Nation	Resource is already at Nation	Resource is already at Nation	Resource is already at Nation	Resource is already at Nation
Background_Color	لون الخلفية	Background Color	Color de fondo	پس منظر کا رنگ
Edit_MeetUp	تعديل الاجتماع	Edit Meetup	Edita Meetup	اجلاس کی تدوین کریں
resource_replication_error	Error! Resource could not be replicated	Error! Resource could not be replicated	Error! Resource could not be replicated	Error! Resource could not be replicated
Back_to_Search	عودة إلى البحث	Back to Search	Regresar a búsqueda	واپس تلاش کرنے کے لئے
Description	الوصف	 Description	Descripción	 تفصیل
missing_surveyNo	رقم البحث مفقود	Survey Number is missing	Survey Number is missing	سروے نمبر غائب ہے
My_Home	صفحتي الرئيسية	My Home	Página principal	صفحہ اول
Undefined_Author	لم يتم التعرف على الكاتب	No author defined.	Sin autor definido.	مصنف کی وضاحت موجود نہیں
request_pending	Request Pending	Request Pending	Request Pending	Request Pending
Edit_Quiz	تحرير الاختبار القصير	Edit Quiz	Editar prueba	تصیح ٹیسٹ
Timing	توقيت	Timing	Timing	وقت
Added_Date	تاريخ الاضافة	Added Date	Fecha agregada	تاریخ شمولیت
Password	الرمز السري	Password	Contraseña	 پاس ورڈ
Step_deleted_Success	تم حذف العملية بنجاح	Step successfully deleted.	Paso eliminado con éxito.	مرحلہ کامیابی کے ساتھ خارج ھو گیا ھے
PubsDistDb_Delete_Success	تم حذف النشرة الصادرة بنجاح	Successfully deleted publication distribution.	Distribución de la publicación eliminada con éxito.	اشاعتی ڈسٹریبیوشن ڈیٹابیس کو کامیابی سے حذف کر دیا ہے
Duplicate_Title	العنوان موجود مسبقاً	Title already exists.	Este título ya existe.	عنوان پہلے ہی موجود ہے
Url	الرابط	Url	Url	Url
News_Feed	مصادر الأخبار	News Feed	Fuente de noticias	خبریں
Gender	جنس	Gender	Género	صنف
Resource_Deleted_success	تم حذف المجلد بنجاح	Resource successfully deleted.	Recurso eliminado con éxito.	ریسورس کو کامیابی کے ساتھ حزف کر دیا ہے
level_Single	مستوى	Level	Nivel	لیول
Remove	حذف	Remove	Quitar	حذف
No_Meetup	لا يوجد مماثل	No Meetup	Sin MeetUps	ملاقات نہیں ہے
Notes_Saved_Success	تم حفظ الملاحظات بنجاح	Notes successfully saved.	Notas guardadas con éxito.	نوٹ کامیابی سے محفوظ ہو چکا ھے 
Send_to_communities	الإرسال إلى المجموعات	Send to communities	Send to communities	Send to communities
Add_Step	إضافة خطوة	Add Step	Añadir paso	مرحلہ کا ا ضافہ کریں
Average_Rating	متوسط التقييم	Average Rating	Nota promedio	اوسط درجہ بندی
Event_Description	شرح الموضوع	Event Description	Event Description	تقریب کی تفصیل
Step_Goals	أهداف المرحلة	Step Goals	Objetivos del paso	مرحلے کے مقاصد
Demo	العرض التوضيحي	Demo	Versión demo	ڈیمو
Unjoin	مغادرة هذا الاجتماع	Unjoin	Abandonar este MeetUp	چھوڑ دیں
Accept	قبول	Accept	Aceptar	قبول کریں
edit_welcomeVideo	تعديل نموذج فيديو الترحيب	Edit Welcome Video Form	Edit Welcome Video Form	خوش آمدید ویڈیو فارم میں ترمیم کریں
Course_Updated_Success	تم تحديث الدورة التدريبية بنجاح	Course successfully updated.	Curso actualizado con éxito.	کورس کامیابی سے اپ ڈیٹ ھو چکا ھے
Course_Pass_Msg	لقد نجحت في هذا المستوى	You have passed this level.	Aprobaste este nivel.	آپ اس لیول کوپاس کرچکے ہیں
Inbox	الصندوق الوارد	Inbox	Inbox	ان باکس
Calender	تقويم	Calendar	Calendario	کیلنڈر
